council_name|year|source_document|page_number|resolution_text|source_url
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|21|28 (b) recommended thot the Council wos of liberty or|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|24|implemented os recommended by|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|25|cM/144108125: UPDATE ON THE CDF 2025 APPROVED PROJECTS|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|28|Secretory recommended thot;|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|28|further deliberoiions qnd decision.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|FOURTH ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|29|ln view of the obove, it wos recommended thoi the|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-ORDINARY-COUNCIL-MEETING-FOR-THE-20252026.pdf
Mumbwa Town Council|2024|SECOND ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|7|resolved quickly by relevont outhorities.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-COUNCIL-MEETING-FOR-THE-YEAR-20242025-CIVIC.pdf
Mumbwa Town Council|2024|SECOND ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|9|Recerved ond Adopted os port|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-COUNCIL-MEETING-FOR-THE-YEAR-20242025-CIVIC.pdf
Mumbwa Town Council|2024|SECOND ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|11|Adopted crs port of the proceedings of lhe|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-COUNCIL-MEETING-FOR-THE-YEAR-20242025-CIVIC.pdf
Mumbwa Town Council|2024|SECOND ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|11|unlike just odopting the resolution of the|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-COUNCIL-MEETING-FOR-THE-YEAR-20242025-CIVIC.pdf
Mumbwa Town Council|2024|SECOND ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|11|"resolution should reqd ""the opplicotions for"|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-COUNCIL-MEETING-FOR-THE-YEAR-20242025-CIVIC.pdf
Mumbwa Town Council|2024|SECOND ORDINARY COUNCIL MEETING MINUTES – 2024/2025, MUMBWA CIVIC CENTRE|12|Adopted os porf of lhe proceedinqs of the Council|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-COUNCIL-MEETING-FOR-THE-YEAR-20242025-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|9|resolved quickly by relevont ouihorities.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|12|Jonuary, 2024 be Received ond Adopted os porl|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|15|finonciol yedr 2024 be approved.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|16|recommended for opprovol to the Roting Voluotion Tribunol.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|17|roleoble Poundoge Recommended Council|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|17|properties rotes Poundoge roles Recommended|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|17|Tlrot ofter the publicotion of the obove recommended|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|18|S/No Cotegory of roteoble 2018 Poundoge Recommended|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|19|Therefore, i1 wos recommended thot the opplicotion for|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|21|2023 ond 30th Noyember, 2023 be Received ond Adopted|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|37|are nracle to lrnance approved CDI-- projccts.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|37|approved bLrdget durin-s tlte year. Supplementary budgets consist of additional provisions beyond|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|37|rvhat was originally approved u,hile rc-allocations are approved bLrdget variatior.ts.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|37|1-he approved bLrdget is deve loped on tlre sarne accor-rr.rting and classiflcation basis, ancl lor the sarre|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|37|"DLrring the year. the Cor""rncil adopted Part 2 of Cash Basis IPSAS which provides c.xtra AccrLral"|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
Mumbwa Town Council|2023|SECOND ORDINARY COUNCIL MEETING MINUTES – 2023/2024, MUMBWA CIVIC CENTRE|52|origirral birdget was approved by tlre Mirrister resporsibre lbr Local Gover.ire,t o,|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/THE-SECOND-ORDINARY-MEETING-FOR-THER-2023-2024-CIVIC.pdf
