year|financial_type|category/code|description|amount|source
2026|Programme 11 Expenditure|Prog 11 (01)|Management and support Services - Non-Financial Assets (Capital Expenditure)|430813.0|2026 Approved Budget PDF (Page 31)
2026|Programme 11 Expenditure|Prog 11 (05)|Management and support Services - Liabilities|1208000.0|2026 Approved Budget PDF (Page 31)
2026|Programme 11 Expenditure|Prog 11 (01)|Management and support Services - Outstanding Bills|1208000.0|2026 Approved Budget PDF (Page 31)
2026|Programme 11 Expenditure|Prog 11 (11)|Management and support Services - Management and support Services|15912325.0|2026 Approved Budget PDF (Page 32)
2026|Programme 11 Expenditure|Prog 11 (03)|Management and support Services - Annual budget produced|1.0|2026 Approved Budget PDF (Page 33)
2026|Programme 12 Expenditure|Prog 12 (01)|Resource Mobilisation and Management - Personal Emoluments|1355952.0|2026 Approved Budget PDF (Page 34)
2026|Programme 12 Expenditure|Prog 12 (01)|Resource Mobilisation and Management - Salaries and Wages|1355952.0|2026 Approved Budget PDF (Page 34)
2026|Programme 12 Expenditure|Prog 12 (02)|Resource Mobilisation and Management - Use of Goods and Services|375990.0|2026 Approved Budget PDF (Page 34)
2026|Programme 12 Expenditure|Prog 12 (02)|Resource Mobilisation and Management - General Operations|375990.0|2026 Approved Budget PDF (Page 34)
2026|Programme 12 Expenditure|Prog 12 (04)|Resource Mobilisation and Management - Assets|15000.0|2026 Approved Budget PDF (Page 34)
2026|Programme 12 Expenditure|Prog 12 (01)|Resource Mobilisation and Management - Non-Financial Assets (Capital Expenditure)|15000.0|2026 Approved Budget PDF (Page 34)
2026|Programme 12 Expenditure|Prog 12 (12)|Resource Mobilisation and Management - Resource Mobilisation and Management|1746942.0|2026 Approved Budget PDF (Page 34)
2026|Programme 13 Expenditure|Prog 13 (02)|District Health servcies - Use of Goods and Services|6432992.0|2026 Approved Budget PDF (Page 36)
2026|Programme 13 Expenditure|Prog 13 (02)|District Health servcies - General Operations|6432992.0|2026 Approved Budget PDF (Page 36)
2026|Programme 13 Expenditure|Prog 13 (13)|District Health servcies - District Health servcies|6432992.0|2026 Approved Budget PDF (Page 36)
2026|Programme 15 Expenditure|Prog 15 (02)|Transport Services - Use of Goods and Services|481111.0|2026 Approved Budget PDF (Page 38)
2026|Programme 15 Expenditure|Prog 15 (02)|Transport Services - General Operations|481111.0|2026 Approved Budget PDF (Page 38)
2026|Programme 15 Expenditure|Prog 15 (04)|Transport Services - Assets|6351370.0|2026 Approved Budget PDF (Page 38)
2026|Programme 15 Expenditure|Prog 15 (01)|Transport Services - Non-Financial Assets (Capital Expenditure)|6351370.0|2026 Approved Budget PDF (Page 38)
2026|Programme 15 Expenditure|Prog 15 (15)|Transport Services - Transport Services|6832481.0|2026 Approved Budget PDF (Page 38)
2026|Programme 16 Expenditure|Prog 16 (02)|Agricultural Services - Use of Goods and Services|502947.0|2026 Approved Budget PDF (Page 40)
2026|Programme 16 Expenditure|Prog 16 (02)|Agricultural Services - General Operations|502947.0|2026 Approved Budget PDF (Page 40)
2026|Programme 16 Expenditure|Prog 16 (16)|Agricultural Services - Agricultural Services|502947.0|2026 Approved Budget PDF (Page 40)
2026|Programme 17 Expenditure|Prog 17 (02)|Fisheries and Livestock - Use of Goods and Services|503175.0|2026 Approved Budget PDF (Page 42)
2026|Programme 17 Expenditure|Prog 17 (02)|Fisheries and Livestock - General Operations|503175.0|2026 Approved Budget PDF (Page 42)
2026|Programme 17 Expenditure|Prog 17 (17)|Fisheries and Livestock - Fisheries and Livestock|503175.0|2026 Approved Budget PDF (Page 43)
2026|Programme 17 Expenditure|Prog 17 (01)|Fisheries and Livestock - Number Animals Vaccinated against Management Diseases|130000.0|2026 Approved Budget PDF (Page 44)
2026|Programme 18 Expenditure|Prog 18 (02)|Social Protection and Community Development - Use of Goods and Services|22847549.0|2026 Approved Budget PDF (Page 45)
2026|Programme 18 Expenditure|Prog 18 (02)|Social Protection and Community Development - General Operations|22847549.0|2026 Approved Budget PDF (Page 45)
2026|Programme 18 Expenditure|Prog 18 (18)|Social Protection and Community Development - Social Protection and Community Development|22847549.0|2026 Approved Budget PDF (Page 45)
